Row ID,Order ID,Order Date,Order/quarter,OrderMonth,OrderYear,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,IsReturned,Sales,Net Sales,Quantity,Discount,Profit Margin,Profit
4102,US-2014-102288,20/6/2014,2,6,2014,24/6/2014,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Houston,Texas,77095,Central,OFF-AP-10002906,Office Supplies,Appliances,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,0,"0,444","0,0888",1,"0,8","-12,5","-1,11"
9293,CA-2014-124114,3/3/2014,1,3,2014,3/3/2014,Same Day,RS-19765,Roland Schwarz,Corporate,United States,Waco,Texas,76706,Central,OFF-BI-10004022,Office Supplies,Binders,Acco Suede Grain Vinyl Round Ring Binder,0,"0,556","0,1112",1,"0,8","-8,5","-0,9452"
8659,CA-2013-168361,22/6/2013,2,6,2013,26/6/2013,Standard Class,KB-16600,Ken Brennan,Corporate,United States,Chicago,Illinois,60623,Central,OFF-BI-10003727,Office Supplies,Binders,Avery Durable Slant Ring Binders With Label Holder,0,"0,836","0,1672",1,"0,8",-8,"-1,3376"
4712,CA-2011-112403,31/3/2011,1,3,2011,31/3/2011,Same Day,JO-15280,Jas O'Carroll,Consumer,United States,Philadelphia,Pennsylvania,19120,East,OFF-BI-10003529,Office Supplies,Binders,Avery Round Ring Poly Binders,0,"0,852","0,2556",1,"0,7","-2,333333333","-0,5964"
2107,US-2011-152723,26/9/2011,3,9,2011,26/9/2011,Same Day,HG-14965,Henry Goldwyn,Corporate,United States,Mesquite,Texas,75150,Central,OFF-BI-10003460,Office Supplies,Binders,Acco 3-Hole Punch,0,"0,876","0,1752",1,"0,8",-8,"-1,4016"
7549,CA-2011-103492,10/10/2011,4,10,2011,15/10/2011,Standard Class,CM-12715,Craig Molinari,Corporate,United States,Huntsville,Texas,77340,Central,OFF-BI-10004140,Office Supplies,Binders,Avery Non-Stick Binders,0,"0,898","0,1796",1,"0,8","-8,75","-1,5715"
8034,CA-2012-119690,25/6/2012,2,6,2012,28/6/2012,First Class,MV-17485,Mark Van Huff,Consumer,United States,Houston,Texas,77041,Central,OFF-BI-10000201,Office Supplies,Binders,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",0,"0,984","0,1968",2,"0,8","-7,5","-1,476"
2762,CA-2014-126536,13/10/2014,4,10,2014,15/10/2014,First Class,NK-18490,Neil Knudson,Home Office,United States,San Francisco,California,94110,West,TEC-AC-10003709,Technology,Accessories,,0,"0,99","0,99",1,0,"0,44","0,4356"
8025,CA-2011-129189,21/7/2011,3,7,2011,25/7/2011,Standard Class,HM-14860,Harry Marie,Corporate,United States,Dallas,Texas,75217,Central,OFF-BI-10000494,Office Supplies,Binders,Acco Economy Flexible Poly Round Ring Binder,0,"1,044","0,2088",1,"0,8","-8,75","-1,827"
1333,CA-2011-122567,17/2/2011,1,2,2011,22/2/2011,Standard Class,MN-17935,Michael Nguyen,Consumer,United States,Dallas,Texas,75220,Central,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,0,"1,08","0,216",3,"0,8",-8,"-1,728"
4934,CA-2012-106978,28/9/2012,3,9,2012,4/10/2012,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Aurora,Colorado,80013,West,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,0,"1,08","0,324",2,"0,7","-2,444444444","-0,792"
977,US-2014-100209,10/7/2014,3,7,2014,16/7/2014,Standard Class,TD-20995,Tamara Dahlen,Consumer,United States,Portland,Oregon,97206,West,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,0,"1,08","0,324",2,"0,7","-2,444444444","-0,792"
988,CA-2012-146829,10/3/2012,1,3,2012,10/3/2012,Same Day,TS-21340,Toby Swindell,Consumer,United States,Houston,Texas,77041,Central,OFF-BI-10004022,Office Supplies,Binders,Acco Suede Grain Vinyl Round Ring Binder,0,"1,112","0,2224",2,"0,8","-8,5","-1,8904"
2606,CA-2011-112718,16/12/2011,4,12,2011,21/12/2011,Standard Class,KN-16450,Kean Nguyen,Corporate,United States,Jacksonville,Florida,32216,South,OFF-BI-10000591,Office Supplies,Binders,Avery Binder Labels,0,"1,167","0,3501",1,"0,7","-2,444444444","-0,8558"
4875,CA-2014-164042,24/5/2014,2,5,2014,28/5/2014,Standard Class,KL-16645,Ken Lonsdale,Consumer,United States,Houston,Texas,77095,Central,OFF-BI-10001922,Office Supplies,Binders,Storex Dura Pro Binders,0,"1,188","0,2376",1,"0,8","-8,25","-1,9602"
1686,CA-2014-149489,25/4/2014,2,4,2014,28/4/2014,First Class,DK-12835,Damala Kotsonis,Corporate,United States,Philadelphia,Pennsylvania,19143,East,OFF-BI-10002813,Office Supplies,Binders,Avery Reinforcements for Hole-Punch Pages,0,"1,188","0,3564",2,"0,7","-2,777777778","-0,99"
6090,US-2014-162068,29/12/2014,4,12,2014,1/1/2015,Second Class,PC-18745,Pamela Coakley,Corporate,United States,Loveland,Colorado,80538,West,OFF-BI-10002813,Office Supplies,Binders,Avery Reinforcements for Hole-Punch Pages,0,"1,188","0,3564",2,"0,7","-2,777777778","-0,99"
1113,US-2013-110156,20/11/2013,4,11,2013,25/11/2013,Standard Class,EH-13945,Eric Hoffmann,Consumer,United States,Houston,Texas,77041,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,0,"1,192","0,2384",2,"0,8","-8,5","-2,0264"
3326,CA-2011-165309,11/11/2011,4,11,2011,15/11/2011,Standard Class,KD-16270,Karen Daniels,Consumer,United States,Houston,Texas,77095,Central,OFF-BI-10001267,Office Supplies,Binders,"Universal Recycled Hanging Pressboard Report Binders, Letter Size",0,"1,234","0,2468",1,"0,8",-8,"-1,9744"
5207,CA-2012-102015,12/9/2012,3,9,2012,18/9/2012,Standard Class,TM-21010,Tamara Manning,Consumer,United States,Auburn,New York,13021,East,OFF-FA-10000490,Office Supplies,Fasteners,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",0,"1,24","1,24",1,0,"0,47","0,5828"
8966,CA-2014-106691,7/11/2014,4,11,2014,13/11/2014,Standard Class,CC-12370,Christopher Conant,Consumer,United States,Houston,Texas,77070,Central,OFF-BI-10000145,Office Supplies,Binders,Zipper Ring Binder Pockets,0,"1,248","0,2496",2,"0,8","-7,75","-1,9344"
76,US-2014-118038,10/12/2014,4,12,2014,12/12/2014,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,0,"1,248","0,2496",3,"0,8","-7,75","-1,9344"
2347,CA-2013-159373,14/3/2013,1,3,2013,19/3/2013,Standard Class,LT-17110,Liz Thompson,Consumer,United States,San Antonio,Texas,78207,Central,OFF-BI-10004141,Office Supplies,Binders,Insertable Tab Indexes For Data Binders,0,"1,272","0,2544",2,"0,8","-8,5","-2,1624"
2428,CA-2013-169922,12/6/2013,2,6,2013,18/6/2013,Standard Class,MZ-17515,Mary Zewe,Corporate,United States,Arlington,Texas,76017,Central,OFF-BI-10003784,Office Supplies,Binders,Computer Printout Index Tabs,0,"1,344","0,2688",4,"0,8",-8,"-2,1504"
7118,CA-2011-143168,18/10/2011,4,10,2011,23/10/2011,Second Class,IG-15085,Ivan Gibson,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003784,Office Supplies,Binders,Computer Printout Index Tabs,0,"1,344","1,0752",1,"0,2","0,4375","0,4704"
9383,CA-2011-154158,23/12/2011,4,12,2011,27/12/2011,Second Class,CC-12670,Craig Carreira,Consumer,United States,Tampa,Florida,33614,South,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,0,"1,344","1,0752",1,"0,2","0,46875","0,504"
3767,CA-2013-163153,22/3/2013,1,3,2013,26/3/2013,Standard Class,DM-12955,Dario Medina,Corporate,United States,Houston,Texas,77036,Central,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,0,"1,344","1,0752",1,"0,2","0,46875","0,504"
5857,CA-2012-112214,5/8/2012,3,8,2012,11/8/2012,Standard Class,AH-10690,Anna Häberlin,Corporate,United States,Dallas,Texas,75220,Central,OFF-BI-10002982,Office Supplies,Binders,Avery Self-Adhesive Photo Pockets for Polaroid Photos,0,"1,362","0,2724",1,"0,8",-8,"-2,1792"
6598,CA-2011-169257,6/6/2011,2,6,2011,12/6/2011,Standard Class,SV-20785,Stewart Visinsky,Consumer,United States,Jacksonville,Florida,32216,South,OFF-BI-10002557,Office Supplies,Binders,Presstex Flexible Ring Binders,0,"1,365","0,4095",1,"0,7","-2,222222222","-0,91"
6990,CA-2014-165099,12/12/2014,4,12,2014,14/12/2014,First Class,DK-13375,Dennis Kane,Consumer,United States,Abilene,Texas,79605,Central,OFF-AP-10001634,Office Supplies,Appliances,Hoover Commercial Lightweight Upright Vacuum,0,"1,392","0,2784",2,"0,8","-13,5","-3,7584"
9225,CA-2014-121160,5/11/2014,4,11,2014,5/11/2014,Same Day,FM-14290,Frank Merwin,Home Office,United States,Bryan,Texas,77803,Central,OFF-BI-10003094,Office Supplies,Binders,Self-Adhesive Ring Binder Labels,0,"1,408","0,2816",2,"0,8","-8,25","-2,3232"
7357,CA-2013-114748,10/10/2013,4,10,2013,15/10/2013,Standard Class,MZ-17335,Maria Zettner,Home Office,United States,Phoenix,Arizona,85023,West,OFF-AR-10001315,Office Supplies,Art,Newell 310,0,"1,408","1,1264",1,"0,2","0,140625","0,1584"
2214,CA-2014-129378,2/10/2014,4,10,2014,3/10/2014,First Class,NS-18505,Neola Schneider,Consumer,United States,San Jose,California,95123,West,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,0,"1,44","1,152",1,"0,2","0,4375","0,504"
1066,CA-2012-161263,16/4/2012,2,4,2012,21/4/2012,Standard Class,TS-21160,Theresa Swint,Corporate,United States,Toledo,Ohio,43615,East,OFF-FA-10003059,Office Supplies,Fasteners,Assorted Color Push Pins,0,"1,448","1,1584",1,"0,2","0,203125","0,2353"
4782,CA-2011-159310,7/11/2011,4,11,2011,12/11/2011,Standard Class,SC-20725,Steven Cartwright,Consumer,United States,Houston,Texas,77070,Central,OFF-BI-10000201,Office Supplies,Binders,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",0,"1,476","0,2952",3,"0,8","-7,5","-2,214"
9305,US-2012-163433,18/4/2012,2,4,2012,22/4/2012,Second Class,MP-17965,Michael Paige,Corporate,United States,Mcallen,Texas,78501,Central,OFF-BI-10000320,Office Supplies,Binders,GBC Plastic Binding Combs,0,"1,476","0,2952",1,"0,8","-7,75","-2,2878"
3214,CA-2013-132409,27/5/2013,2,5,2013,2/6/2013,Standard Class,TH-21235,Tiffany House,Corporate,United States,Philadelphia,Pennsylvania,19134,East,OFF-AR-10001919,Office Supplies,Art,"OIC #2 Pencils, Medium Soft",0,"1,504","1,2032",1,"0,2","0,140625","0,1692"
8723,CA-2013-120824,13/6/2013,2,6,2013,17/6/2013,Second Class,AW-10930,Arthur Wiediger,Home Office,United States,Houston,Texas,77070,Central,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",0,"1,524","0,3048",2,"0,8","-8,75","-2,667"
